Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
21,41,58.5,8,180,200,100,214,12
14,51,81.41,20,244,240,235,244,12
11,68,164.83,0,844,280,280,592,12
15,108,61.25,0,144,0,142,204,8
32,115,63.9,0,220,120,91,214,10
18,122,55.72,0,188,120,121,202,11
2,135,159.3,100,784,360,273,584,13
5,188,94.9,20,460,80,138,358,11
18,201,44.08,6,136,0,135,276,12
22,207,65.0,8,264,80,156,284,12
27,217,148.0,40,684,360,246,446,12
1,234,168.0,162,808,280,362,578,13
56,280,137.0,66,544,320,304,416,12
12,314,163.83,64,896,200,246,560,12
42,360,112.58,0,488,120,285,464,12
16,378,85.63,6,292,240,160,250,11
46,503,140.33,0,696,280,254,460,12
9,623,65.45,0,232,160,132,214,11
34,691,57.08,16,220,80,169,206,12
9,836,68.55,0,236,40,85,262,9
67,857,131.66,60,600,280,228,424,12
15,931,70.91,36,240,220,145,216,12
1,1023,187.75,166,848,340,321,590,12
10,1089,135.5,20,624,360,230,416,12
2,1310,112.54,100,404,240,176,336,11
64,1322,133.25,20,552,400,209,418,12
1,1538,117.2,0,528,80,186,378,10
9,1572,74.2,0,268,120,118,254,10
2,1640,152.41,8,748,320,273,486,12
34,1648,49.5,0,64,80,62,202,8
43,1700,56.5,48,204,40,91,182,10
6,1701,58.0,0,260,40,184,242,12
13,1706,71.08,40,196,160,197,260,12
19,1714,67.11,4,148,120,170,162,9
8,1785,61.2,20,148,120,142,188,10
2,2013,76.58,0,220,40,463,196,12
49,2220,34.9,0,64,80,87,124,10
1,2338,144.7,0,680,160,155,464,10
12,2342,145.0,126,504,320,336,484,12
2,2363,82.55,6,336,0,139,268,9
1,2383,101.11,90,308,160,114,238,9
20,2522,123.08,8,592,160,315,402,12
22,2605,121.0,20,524,120,396,398,12
68,2619,130.25,36,568,320,281,364,12
9,2655,76.77,0,196,160,135,200,9
15,2848,69.83,0,280,160,194,222,12
34,2907,116.83,20,436,280,360,306,12
33,2914,45.11,4,72,120,104,106,9
3,2974,83.25,0,312,40,126,218,8
17,3103,79.33,0,172,240,124,178,9
19,3238,124.5,0,556,200,390,348,12
37,3278,45.55,4,64,120,60,180,9
7,3284,89.16,8,360,240,180,288,12
60,3322,135.5,68,552,380,266,360,12
16,3357,91.08,50,280,360,135,280,12
17,3602,160.16,54,736,320,334,484,12
4,3996,72.9,0,248,160,103,220,10
16,4010,51.41,8,156,80,175,210,12
4,4201,94.25,0,508,40,181,408,12
58,4207,30.11,4,48,20,114,102,9
6,4213,94.54,40,396,200,132,278,11
3,4334,75.83,4,164,160,332,250,12
25,4364,60.66,0,224,120,174,226,12
4,4451,96.7,0,392,140,151,320,10
3,4977,51.72,12,132,80,231,120,11
10,5048,167.33,52,820,240,310,592,12
39,5162,64.33,26,160,160,194,262,12
42,5212,44.41,4,140,120,115,166,12
11,5403,129.07,26,600,360,246,458,13
51,5464,36.22,0,56,160,82,68,9
63,5505,133.25,24,540,440,261,340,12
59,5536,31.62,6,52,40,55,112,8
16,5571,67.5,0,276,120,125,178,10
36,5581,35.6,0,28,120,98,120,10
23,5667,76.27,6,296,200,107,236,11
46,5687,121.83,16,536,280,240,390,12
82,5692,124.16,60,564,160,336,370,12
