Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
8,16,105.6,20,496,0,202,344,10
28,20,71.9,20,300,120,129,234,11
3,60,108.16,24,584,40,208,466,12
37,67,144.08,72,640,280,249,512,12
16,85,160.75,6,828,360,223,524,12
22,93,63.77,0,140,120,192,122,9
35,173,132.16,70,552,320,252,392,12
17,203,122.5,26,524,320,206,418,12
7,225,143.0,160,524,380,290,368,12
22,236,138.75,146,568,280,261,428,12
24,246,138.25,106,576,320,257,406,12
1,254,200.4,200,836,280,166,522,10
21,375,51.22,0,128,40,85,214,9
3,399,107.3,0,440,120,189,324,10
5,418,91.0,4,408,160,254,284,12
53,467,116.83,8,548,320,190,384,12
29,558,135.16,54,616,360,264,370,12
2,973,83.66,10,340,40,141,234,9
10,999,147.58,80,624,400,259,450,12
37,1058,130.75,0,540,400,193,442,12
19,1241,76.84,40,348,80,125,448,13
3,1296,95.55,0,340,80,128,354,9
52,1306,43.44,0,124,0,127,158,9
3,1325,139.3,20,624,120,201,428,10
7,1458,80.5,14,348,80,194,336,12
4,1501,149.84,8,744,420,218,558,13
14,1510,126.66,0,588,240,280,412,12
9,1511,91.54,0,380,160,195,272,11
1,1519,200.08,214,880,440,313,566,12
7,1629,71.33,80,52,200,156,172,9
43,1710,35.3,0,76,40,57,192,10
41,1711,142.33,40,692,320,236,426,12
2,1730,125.1,160,444,160,183,334,10
8,1885,65.63,0,156,200,150,216,11
86,2075,118.58,90,456,280,183,414,12
3,2085,129.5,28,580,140,183,364,10
10,2283,42.9,8,108,40,206,140,11
4,2377,74.11,0,272,80,103,224,9
18,2471,124.58,0,608,120,297,482,12
25,2521,119.75,12,452,280,285,432,12
3,2534,77.11,0,292,40,116,252,9
16,2601,65.22,4,196,80,127,192,9
40,2905,53.3,0,168,120,83,174,10
28,3256,66.1,20,168,120,83,282,10
1,3339,90.5,4,396,160,103,260,10
13,3478,83.66,0,324,40,141,254,9
4,3481,91.08,0,316,360,129,294,12
2,3506,55.2,0,132,40,268,118,10
26,3547,148.66,64,588,440,240,452,12
32,3604,146.83,46,620,400,304,422,12
53,3728,38.55,0,84,120,59,108,9
38,3880,59.5,0,168,120,107,200,10
42,3946,37.22,0,12,120,107,114,9
20,4028,78.81,0,332,120,59,362,11
21,4215,51.0,0,92,220,65,106,9
1,4488,157.75,0,824,140,349,586,12
10,4499,85.2,0,268,200,166,224,10
40,4574,38.44,0,76,0,106,170,9
4,4587,119.0,20,416,160,103,372,9
57,4818,38.11,8,104,0,71,184,9
42,4953,40.3,4,116,80,103,106,10
9,4980,137.66,4,656,280,264,454,12
51,5053,138.08,0,632,360,203,480,12
34,5059,33.53,0,160,40,98,168,13
20,5122,141.41,40,656,320,237,456,12
1,5254,125.27,0,568,280,158,402,11
7,5338,86.2,0,332,80,168,288,10
3,5406,135.69,40,676,400,184,470,13
29,5416,66.11,40,184,40,179,158,9
55,5510,28.88,0,88,0,76,120,9
7,5549,66.81,4,228,200,125,196,11
26,5625,63.5,0,248,80,214,244,12
44,5655,38.6,0,84,160,61,100,10
6,5659,88.66,24,256,160,164,206,9
27,5696,33.45,0,44,40,198,116,11
29,5719,59.76,60,268,80,119,298,13
