Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
25,66,150.58,66,704,240,301,502,12
5,71,142.53,40,624,480,159,550,13
21,75,120.66,8,496,320,220,404,12
16,126,143.16,36,572,400,310,400,12
20,128,46.77,8,56,160,69,134,9
19,144,79.18,0,380,80,139,296,11
19,172,141.66,76,648,240,296,452,12
4,193,150.08,0,684,400,205,518,12
22,216,72.1,24,312,40,119,244,10
5,233,96.45,140,324,260,83,266,11
2,329,108.66,166,252,240,82,238,9
36,337,69.54,0,284,200,69,230,11
1,359,118.33,0,612,120,234,454,12
5,368,112.0,60,488,160,82,330,10
42,585,36.83,64,132,40,75,142,12
25,771,69.3,0,252,80,163,204,10
10,829,130.23,44,656,280,203,546,13
4,971,119.0,20,604,80,72,414,10
8,1024,130.76,44,700,260,192,522,13
6,1208,92.75,0,336,200,257,320,12
23,1369,68.0,4,164,240,64,214,10
27,1425,119.33,28,528,120,284,478,12
7,1592,86.55,100,312,80,39,266,9
7,1625,108.3,0,476,120,151,336,10
2,1717,100.16,116,508,80,144,360,12
85,1718,120.16,68,448,240,258,428,12
3,1768,176.0,40,828,440,294,510,12
18,1868,74.7,20,252,120,97,258,10
8,1884,45.25,4,100,80,82,108,8
1,1986,128.36,100,520,320,146,344,11
4,2130,68.33,8,284,120,118,296,12
50,2337,138.5,52,580,280,286,476,12
40,2491,41.2,0,108,120,106,120,10
23,2630,72.6,0,328,120,98,216,10
58,2648,112.33,52,464,280,280,290,12
21,2767,155.5,20,748,280,384,434,12
40,2834,143.0,20,680,320,276,438,12
4,2852,124.6,20,572,80,152,428,10
33,2876,132.83,46,528,440,198,406,12
2,3140,111.3,8,436,240,139,290,10
45,3324,54.63,6,160,160,71,216,11
36,3352,61.1,24,220,80,99,212,10
1,3419,105.45,0,456,160,248,302,11
47,3504,43.55,4,104,80,74,148,9
45,3507,40.0,0,104,80,88,110,9
3,3512,98.91,20,548,80,181,382,12
29,3536,147.25,86,688,320,249,436,12
4,3566,64.08,36,140,200,241,176,12
26,3653,54.5,0,160,40,76,160,8
23,3721,67.91,0,296,80,185,290,12
25,3802,41.2,8,88,120,68,140,10
17,3844,66.2,0,220,160,110,190,10
25,3881,64.08,0,248,120,167,258,12
3,4001,109.45,0,548,100,188,368,11
8,4039,91.9,0,468,40,133,382,11
3,4183,65.16,0,244,120,180,250,12
8,4253,92.75,20,492,40,209,400,12
81,4381,124.33,60,520,320,228,382,12
28,4384,147.5,40,696,280,300,460,12
32,4536,50.0,0,104,80,92,198,9
52,4721,40.0,0,132,40,76,120,9
45,4911,110.0,0,496,120,330,380,12
8,4915,138.33,4,624,360,292,416,12
50,4945,37.33,0,128,0,101,122,9
13,4967,163.0,204,608,440,256,454,12
34,5260,145.66,60,604,320,344,420,12
9,5291,60.1,24,176,160,123,136,10
14,5402,128.23,28,604,360,219,462,13
10,5431,56.3,12,108,140,27,290,10
26,5437,60.0,20,172,160,78,170,10
13,5442,83.91,20,380,160,145,320,12
50,5458,36.5,20,128,0,99,136,10
29,5465,45.0,0,104,120,170,158,12
42,5515,43.55,0,108,80,82,158,9
59,5546,25.37,0,24,0,69,128,8
29,5689,67.6,44,256,40,144,202,10
