Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
15,56,124.91,0,536,360,173,430,12
24,57,71.88,0,188,160,107,204,9
4,70,171.58,148,860,340,213,504,12
11,88,147.25,46,608,480,239,394,12
15,107,161.08,160,712,320,295,464,12
2,120,106.09,6,492,200,151,318,11
52,123,138.0,60,548,400,254,400,12
1,148,136.83,212,720,80,80,556,12
42,176,126.58,40,556,360,221,366,12
30,228,78.16,20,328,120,126,350,12
23,230,138.33,46,592,400,264,376,12
10,271,76.11,28,164,120,221,164,9
6,303,146.16,0,748,280,212,514,12
11,339,51.5,8,92,80,124,114,8

36,369,31.12,0,36,80,55,120,8
1,379,115.33,0,504,40,148,346,9
10,610,86.75,0,420,120,257,292,12
29,649,65.8,40,236,80,108,194,10
2,701,135.77,0,472,200,208,342,9
45,702,42.6,8,116,80,68,178,10
38,708,112.58,8,420,420,167,342,12
9,842,74.08,108,240,80,215,258,12
30,900,33.0,4,100,0,130,102,10
4,948,149.66,180,516,360,320,432,12
10,1086,64.33,4,124,160,75,222,9
1,1114,165.9,140,760,80,231,460,10
5,1156,90.22,4,348,120,108,238,9
6,1305,94.36,20,428,140,194,268,11
6,1318,147.41,40,756,120,337,516,12
1,1319,93.87,0,284,80,123,264,8
36,1506,144.16,20,672,360,236,454,12
3,1574,79.5,0,336,120,89,262,10
8,1622,77.7,0,300,120,137,238,10
10,1816,68.88,0,232,140,114,188,9
18,1923,121.91,0,520,340,181,422,12
17,2046,124.75,40,612,120,287,444,12
6,2457,99.5,20,512,160,126,394,12
55,2557,98.58,8,420,160,173,434,12
41,2594,52.0,0,176,80,86,232,10
25,2994,57.18,0,196,80,213,170,11
12,2996,83.0,42,272,200,150,184,10
12,3008,83.91,0,380,120,185,346,12
21,3193,78.27,48,252,280,97,196,11
2,3309,135.84,180,684,240,250,442,13
33,3452,146.58,40,696,280,265,490,12
19,3495,68.66,26,244,40,294,238,12
7,3663,138.83,0,792,80,294,518,12
2,3937,85.77,6,316,80,146,236,9
5,3959,91.2,4,312,160,210,244,10
32,3974,115.16,30,472,320,218,348,12
27,4048,136.08,56,584,360,245,388,12
11,4061,135.66,0,632,200,296,506,12
5,4073,49.1,0,100,80,167,156,10
58,4080,32.37,0,92,0,63,118,8
3,4143,124.1,28,536,140,217,320,10
12,4146,67.76,0,256,80,205,346,13
20,4355,36.0,0,64,0,226,124,11
21,4450,122.58,0,544,200,299,434,12
7,4468,68.87,0,132,40,173,206,8
32,4498,53.5,0,172,40,93,248,10
33,4593,65.2,20,192,80,214,164,10
18,4595,75.3,40,320,40,129,248,10
1,4613,70.0,0,372,0,60,426,12
20,4653,121.0,6,520,360,196,370,12
41,4909,127.0,52,464,400,216,398,12
7,5046,170.0,6,828,360,298,548,12
48,5407,104.75,4,404,360,193,302,12
15,5472,73.6,0,212,160,152,224,10
42,5572,57.11,0,156,80,90,188,9
16,5585,71.58,0,316,160,145,262,12
49,5586,48.11,20,112,60,107,140,9
57,5603,136.58,46,552,320,291,442,12
49,5654,32.8,0,136,0,90,108,10
36,5735,131.5,52,544,320,220,454,12
16,5737,75.6,24,148,280,88,216,10
