Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
30,1,147.0,24,672,320,248,506,12
55,27,137.5,8,636,280,352,374,12
28,45,112.07,52,392,440,223,386,13
23,102,65.41,0,284,160,125,216,12
16,111,81.3,0,372,60,101,310,10
24,191,77.54,6,264,200,127,268,11
25,219,117.91,0,520,320,235,364,12
38,237,128.91,60,496,440,231,326,12
61,245,134.08,20,640,240,285,430,12
1,330,134.16,136,724,120,236,406,12
12,365,131.33,34,556,380,230,376,12
3,384,63.12,4,216,80,95,134,8
15,492,126.25,20,616,120,321,438,12
58,494,135.83,214,612,160,216,440,12
1,525,117.77,0,500,100,144,328,9
16,568,68.6,20,152,160,140,232,10
27,597,62.5,20,224,40,196,270,12
25,604,69.0,14,200,160,125,198,10
3,744,97.1,12,324,200,219,234,10
53,862,137.91,0,636,320,225,480,12
5,876,108.25,20,544,160,151,442,12
4,967,85.2,28,380,40,108,314,10
19,1002,62.0,0,220,80,160,172,10
14,1011,79.0,20,264,80,178,254,10
14,1189,161.83,48,784,320,328,480,12
38,1477,59.77,0,116,160,148,126,9
54,1540,103.75,4,432,240,249,326,12
46,1547,39.44,0,92,80,63,126,9
12,1595,135.41,80,556,280,333,382,12
1,1619,131.9,0,548,240,165,396,10
12,1649,74.4,36,72,360,100,184,10
1,1690,115.88,0,496,80,151,328,9
7,1726,72.76,20,340,160,216,222,13
18,1777,52.3,8,116,200,97,126,10
13,1902,73.9,24,232,160,129,224,10
6,2052,84.22,0,360,80,108,252,9
2,2056,141.2,184,508,240,148,332,10
14,2067,143.33,24,644,320,346,422,12
26,2168,136.66,28,560,280,364,426,12
16,2375,63.61,20,224,100,213,276,13
9,2451,104.3,0,428,120,207,300,10
2,2502,108.88,0,424,80,212,264,9
19,2626,48.8,0,152,80,124,160,10
7,2836,155.41,30,708,400,233,494,12
13,2990,131.0,0,664,120,330,458,12
19,3026,57.55,6,136,80,114,182,9
45,3142,107.83,20,420,320,176,358,12
4,3146,164.75,44,740,440,235,524,12
43,3175,56.2,0,168,100,134,190,10
7,3288,89.5,8,300,160,205,228,10
50,3337,31.33,20,80,0,74,150,9
31,3397,54.16,0,196,160,132,174,12
38,3410,44.25,0,84,40,120,116,8
22,3492,59.5,0,200,120,107,180,10
9,3562,59.83,8,164,120,174,258,12
23,3618,151.83,64,716,360,240,478,12
80,3668,124.58,20,524,400,185,378,12
5,3674,148.83,0,772,200,290,524,12
99,3770,106.25,28,324,320,269,340,12
33,3787,117.25,24,396,280,333,380,12
4,3944,64.5,0,316,80,128,262,12
16,4198,60.11,4,212,120,103,138,9
13,4373,127.0,24,548,400,188,370,12
1,4719,88.75,0,340,120,319,286,12
47,4920,45.5,20,152,40,89,194,10
49,4961,139.25,20,660,240,273,484,12
87,5114,118.58,8,528,240,279,380,12
66,5216,131.66,26,552,440,170,398,12
46,5421,25.0,0,64,40,34,92,8
21,5429,66.33,26,240,80,238,212,12
59,5460,135.75,30,576,320,299,416,12
102,5498,98.66,20,376,240,242,306,12
35,5541,35.77,8,52,120,38,110,9
8,5554,60.8,0,204,120,76,220,10
5,5584,47.33,20,172,20,128,228,12
15,5725,52.25,0,156,80,197,200,12
