Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
11,11,133.33,0,580,360,214,458,12
5,33,171.33,140,952,200,220,574,12


25,125,137.5,20,600,360,210,460,12
47,166,121.25,50,504,280,279,360,12
52,223,95.75,0,428,300,131,296,12
4,263,101.77,20,328,120,166,294,9
13,343,65.12,8,212,40,95,178,8
38,469,144.0,0,704,320,250,472,12
3,548,172.58,0,872,400,265,534,12
6,573,170.83,24,756,480,306,490,12
19,781,65.72,20,288,80,103,238,11
50,811,119.66,36,520,280,214,416,12
2,987,125.75,60,724,160,105,478,12
34,1124,132.33,52,620,320,188,426,12
8,1218,142.75,16,660,360,231,452,12
29,1391,59.58,0,228,120,99,274,12
10,1533,42.3,6,100,120,81,122,10
5,1676,146.41,20,696,380,195,472,12
8,1723,89.4,12,284,80,330,194,10
17,1746,59.5,0,188,40,82,172,8
18,1796,62.77,20,236,40,71,216,9
7,1817,84.25,0,344,200,153,332,12

28,2064,135.58,64,476,400,237,450,12
6,2169,88.55,0,336,80,125,262,9
40,2183,40.66,0,80,160,53,114,9
6,2228,102.45,0,416,200,157,360,11
9,2344,43.12,0,164,0,69,130,8
30,2500,50.55,6,128,80,87,154,9
2,2512,117.33,232,316,400,170,314,12
36,2530,56.77,4,180,40,141,158,9
32,2531,46.2,14,140,140,66,132,10
19,2590,121.75,0,560,300,177,460,12
22,2609,61.09,0,316,0,130,238,11
4,2614,91.3,0,424,120,97,290,10
6,2783,87.6,8,316,120,204,234,10
1,2826,151.5,276,640,80,91,440,10
17,2830,80.7,0,348,120,117,240,10
15,3042,55.8,0,84,80,122,296,10
31,3098,146.83,112,580,400,180,496,12
5,3255,87.0,4,388,40,132,312,10
18,3266,79.27,46,276,240,114,214,11
11,3501,72.58,32,260,160,169,262,12
24,3620,151.33,40,712,320,216,528,12
5,3683,118.2,80,424,200,134,344,10
47,3688,140.08,4,588,480,209,406,12
5,3735,103.88,0,376,160,151,266,9
20,3939,44.75,0,128,0,60,176,8
21,3950,59.55,0,284,40,54,194,9
72,4130,127.66,20,660,240,188,424,12
10,4265,77.5,0,272,200,105,228,10
14,4329,70.91,0,228,280,107,242,12
18,4362,159.83,66,728,400,254,482,12
54,4391,137.58,20,640,240,279,472,12
76,4405,126.91,88,496,360,227,364,12
39,4486,48.0,0,176,40,130,170,10
29,4550,65.9,4,216,40,151,258,10
48,4589,50.66,0,120,80,110,164,9
43,4731,56.55,0,116,120,125,178,9
36,4799,49.91,0,132,120,107,240,12
28,4918,118.33,0,608,120,264,446,12
27,4930,73.27,4,360,120,98,260,11
6,5015,67.0,4,232,120,210,250,12
16,5024,77.0,16,288,120,104,272,10
25,5118,45.5,0,152,40,156,204,12
34,5318,64.8,24,156,80,166,228,10
3,5413,101.66,20,404,80,147,264,9
17,5428,43.1,0,92,40,115,208,10
16,5454,69.75,0,252,200,181,222,12
43,5493,57.4,24,160,160,164,120,10
71,5509,127.75,16,512,320,301,384,12
69,5562,129.58,8,552,280,297,430,12
3,5576,89.5,28,352,120,111,296,10
26,5771,60.5,0,224,160,140,214,12
