Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
41,25,110.08,0,568,180,165,420,12
3,74,105.58,4,484,200,185,394,12
36,100,52.2,10,172,80,154,130,10
1,118,172.55,160,612,280,175,350,9
39,133,128.41,32,544,400,213,364,12
15,155,143.25,70,620,400,191,438,12
6,175,157.0,104,724,320,270,508,12
10,190,73.75,0,256,80,275,274,12
2,195,182.5,20,892,360,304,632,12
14,269,70.77,20,176,120,119,208,9
12,295,75.1,20,252,160,183,190,10
46,321,106.41,12,476,240,193,362,12
33,533,70.36,0,216,200,96,268,11
29,537,73.18,24,276,140,117,278,11
4,540,61.62,0,184,80,109,120,8
16,587,37.3,0,80,80,97,122,10
28,932,48.66,0,80,40,152,166,9
10,955,137.25,0,676,120,323,528,12
9,1094,78.66,0,268,240,168,268,12
18,1111,51.77,0,152,40,100,186,9
8,1466,82.1,0,300,120,227,180,10
2,1671,131.3,0,608,120,201,396,10
2,1678,168.3,180,648,240,191,424,10
7,1720,131.53,26,648,240,298,522,13
6,1741,134.38,68,644,320,283,438,13
2,1756,131.4,166,616,120,40,390,10
45,1918,140.91,60,688,240,215,506,12
3,1983,154.16,0,776,200,370,504,12
21,2039,75.0,8,352,40,98,288,10
6,2158,84.83,0,204,280,238,296,12
21,2339,60.7,4,192,120,93,198,10
1,2468,108.5,0,556,200,202,386,12
3,2607,151.75,0,672,440,193,540,12
35,2761,55.58,14,228,0,157,274,12
8,2877,150.41,38,616,480,239,444,12
12,3015,90.18,40,376,120,150,306,11
10,3039,66.33,8,212,120,89,192,9
2,3130,101.7,28,492,80,157,302,10
24,3137,57.33,4,172,120,86,152,9
3,3171,104.88,20,404,160,112,272,9
2,3310,103.58,0,556,160,119,414,12
37,3314,112.66,20,488,260,194,396,12
31,3464,133.83,48,564,360,220,432,12
21,3467,139.0,40,688,320,156,506,12
39,3539,143.66,72,640,240,338,434,12
41,3574,113.33,8,488,120,324,420,12
2,3641,172.66,44,868,320,278,592,12
34,3783,50.5,0,176,40,111,190,10
6,3785,75.38,0,348,100,196,348,13
14,3838,86.72,28,304,280,144,210,11
20,3940,122.46,38,512,320,252,476,13
24,4013,55.25,0,168,40,78,174,8
17,4118,72.3,10,192,260,131,154,10
2,4188,90.37,0,232,80,231,186,8
18,4322,68.83,40,276,40,218,258,12

8,4501,78.16,20,264,160,274,232,12
4,4522,88.22,0,408,80,46,278,9
32,4541,42.81,4,128,120,125,120,11

1,4678,114.63,102,484,160,173,348,11
14,4841,64.0,0,280,80,210,262,13
35,4842,51.33,0,168,80,154,220,12
31,4903,66.9,28,220,80,145,208,10
5,4954,90.5,0,444,120,156,366,12
41,5012,39.58,20,120,40,145,174,12
55,5027,37.3,0,112,40,88,140,10
3,5188,151.38,38,856,320,194,572,13
38,5418,48.66,0,116,120,56,152,9
8,5479,80.83,30,328,120,206,286,12
15,5489,77.3,20,252,160,91,262,10
35,5495,116.66,20,496,240,296,360,12
3,5511,53.3,4,124,160,141,134,10
11,5526,40.54,0,76,40,252,90,11
31,5529,57.91,6,260,60,165,210,12
79,5710,124.83,20,576,280,220,408,12
