Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
3,48,105.9,20,536,120,139,392,11
30,58,134.33,24,588,400,208,428,12
35,141,144.25,24,656,360,235,456,12
39,171,58.5,0,244,40,93,214,10
8,226,169.41,20,876,400,223,514,12
24,244,70.3,20,236,120,83,256,10
16,292,126.3,34,576,360,232,452,13
17,319,143.0,154,652,280,230,418,12
10,340,91.45,0,420,200,136,268,11
7,358,81.22,0,224,200,61,246,9
24,612,48.18,4,116,120,180,128,11
3,624,135.33,160,408,160,168,328,9
14,668,78.4,20,272,120,180,204,10
9,706,90.36,8,412,200,92,300,11
19,1025,159.33,68,736,320,254,534,12
1,1225,60.8,0,224,80,70,240,10
12,1255,84.22,44,184,80,244,206,9
44,1311,41.3,4,76,40,87,210,10
37,1323,51.83,36,148,40,122,294,12
9,1403,141.75,0,688,300,233,480,12
42,1502,142.08,26,692,240,277,476,12
13,1515,72.16,14,264,180,128,286,12
1,1523,102.7,0,436,80,193,330,10
40,1610,43.0,12,84,80,129,82,9
14,1647,126.91,34,456,300,355,378,12
2,1658,107.75,0,576,180,169,386,12
1,1806,125.22,0,572,60,127,368,9
10,1836,74.83,8,316,80,190,304,12
20,2054,156.58,200,668,360,251,430,12
8,2059,47.3,0,116,80,123,172,10
5,2062,112.8,6,516,120,118,368,10
1,2122,141.38,4,884,120,260,576,13
9,2137,168.5,60,844,280,286,558,12
5,2170,157.58,30,784,280,257,552,12
49,2191,102.08,20,388,280,179,358,12
28,2399,57.11,24,168,80,88,160,9
18,2415,58.87,0,156,80,109,132,8
1,2481,139.41,194,608,320,133,424,12
11,2486,54.58,4,156,200,121,192,12
16,2526,70.22,0,172,160,150,168,9
6,2587,103.11,20,348,160,158,254,9
44,2613,30.0,24,96,40,67,106,10
23,2635,120.83,0,512,280,266,392,12
51,2658,38.4,0,104,40,70,182,10
28,2875,54.22,20,124,40,168,148,9
1,2883,105.44,0,396,120,169,270,9
43,2930,112.41,40,464,220,267,358,12
59,2950,25.66,0,36,40,59,108,9
22,2959,154.0,60,684,400,286,442,12
48,2960,139.33,20,684,320,224,448,12
36,2992,43.33,20,96,120,93,86,9
2,3132,112.0,146,536,120,136,430,12
60,3184,31.0,4,40,120,55,66,9
9,3250,83.4,48,304,140,126,216,10
1,3360,91.3,100,308,40,223,242,10
2,3476,113.1,0,524,40,165,414,10
43,3656,141.75,12,580,440,235,446,12
1,3824,132.1,4,580,160,191,398,10
21,3847,53.0,0,100,120,121,136,9
24,3941,49.22,18,88,120,85,132,9
44,4003,141.41,120,592,280,271,440,12
36,4050,44.11,0,108,40,77,178,9
3,4256,102.0,30,340,320,190,344,12
6,4481,58.75,0,144,120,48,164,8
29,4571,34.25,4,64,80,68,92,8
36,5006,45.11,0,148,40,72,152,9
65,5072,133.0,34,568,320,290,384,12
5,5314,91.58,38,244,320,215,288,12
15,5415,81.22,0,188,120,245,178,9

18,5528,49.6,6,148,80,128,164,10
39,5582,44.12,0,124,40,95,106,8
25,5627,56.6,0,188,40,162,194,10
38,5678,49.41,18,176,80,151,198,12
94,5712,113.75,6,496,240,237,392,12
54,5730,35.44,10,68,0,129,130,9
